module	trait	nObs	bicor	Z	t	p
red	emissions	25	0.260111013443397	1.27678210545322	1.29191807416366	0.209216848594874
red	spl_ebm	25	0.331679915278383	1.65319336310264	1.68612943698514	0.105290951683919
red	env_tot	25	0.310421653958654	1.53951927605326	1.56609675024365	0.130982215285191
red	poverty	25	0.27685889966657	1.36334458280878	1.38178167791173	0.180314067153718
red	soc_tot	25	0.324890220393297	1.61669775060952	1.64749236246161	0.11305273710672
red	wt_0wk	24	-0.161206838190163	-0.762781148081225	0.766147815330379	0.451731156235504
red	wt_6mo	19	-0.323786219452938	-1.38483158552065	1.41101582734081	0.176278476075935
red	wt_12mo	20	-0.49883643313995	-2.32393156610403	2.44189818118015	0.0251608709976273
red	bmi_24mo	20	-0.465624891722466	-2.1402826891603	2.23222473126997	0.0385452971600584
red	zwfl_pct_0wk	19	0.223659160107605	0.938025722704789	0.946138469491998	0.357333270457951
red	zwfl_pct_6mo	18	-0.311973930130229	-1.29092273902205	1.31344909471299	0.207555802160289
red	zwfl_pct_9mo	14	-0.62749485625611	-2.55398922597922	2.79173919406455	0.0162919202092363
red	zwfl_pct_12mo	20	-0.523485367447516	-2.46552061241016	2.60665488239625	0.0178478198544835
red	zbmi_24mo_pct	20	-0.382566564825231	-1.71005066654138	1.75673060343022	0.0959615033426793
red	wzd_0to6mo	19	-0.265484785872755	-1.12148441826246	1.13536430619421	0.27197712153918
red	wzd_6to12mo	18	-0.164934957643585	-0.665821834475114	0.668900797723563	0.513095133326084
red	wflzd_0to6mo	18	-0.531166594132627	-2.36707541939619	2.507669212001	0.0233116106424192
red	wflzd_6to12mo	17	-0.227693530560008	-0.897585302704712	0.905641886443861	0.379442860326938
red	rwg_wei_0to6mo	19	-0.160933633636702	-0.669365607276946	0.672309773348648	0.510421713131123
red	rwg_wei_6to12mo	18	-0.120915847820067	-0.486041444068014	0.487238375527097	0.632697506305101
red	rwg_wfl_0to6mo	18	-0.595433176657244	-2.74416727948949	2.96454862717048	0.00912978257259853
red	rwg_wfl_6to12mo	17	-0.161136858834458	-0.629567546584915	0.632343794550709	0.536682623186212
red	EH_90Days_base	20	0.17214703180891	0.73770368489051	0.741426561102378	0.467998724633011
red	EH_90Days_wk26	19	0.364121917521697	1.57349949289729	1.6119729895469	0.125376673017285
red	EH_90Days_wk36	17	0.0757123368145993	0.293794859410904	0.294076707452705	0.772729528468957
brown	SequencingNumber	25	-0.251284453630352	-1.23148976159744	1.24506805024108	0.225643479856197
